Very small graphs:
50;BA_50_184;-0.0110;%
50;BA_50_400;-0.0216;%
50;BA_50_96;-0.0149;%
50;PL_50_223;-0.0134;%
50;PL_50_259;-0.0161;%
50;PL_50_545;-0.0053;%
50;SW_50_250;-0.0168;%
50;SW_50_400;-0.0068;%
50;SW_50_500;-0.0110;%
50;binomial_50_231;-0.0067;%
50;binomial_50_253;-0.0180;%
50;binomial_50_254;-0.0109;%


Small graphs:
100;BA_100_196;-0.0040;%
100;BA_100_475;-0.0059;%
100;BA_100_819;-0.0106;%
100;PL_100_1234;-0.0083;%
100;PL_100_1369;-0.0068;%
100;PL_100_382;-0.0027;%
100;SW_100_500;-0.0161;%
100;SW_100_700;-0.0144;%
100;SW_100_800;-0.0082;%
100;binomial_100_968;-0.0181;%
100;binomial_100_974;-0.0105;%
100;binomial_100_989;-0.0133;%


Medium graphs:
1000;BA_1000_10879;-0.0048;%
1000;BA_1000_12831;-0.0070;%
1000;BA_1000_17676;-0.0089;%
1000;PL_1000_17600;-0.0047;%
1000;PL_1000_3982;-0.0003;%
1000;PL_1000_9876;-0.0050;%
1000;SW_1000_25000;-0.0176;%
1000;SW_1000_7000;-0.0136;%
1000;SW_1000_8000;-0.0109;%
1000;binomial_1000_24873;-0.0015;%
1000;binomial_1000_25050;-0.0036;%
1000;binomial_1000_25068;-0.0036;%
7066;wiki-Vote;-0.0102;%


Large graphs:
75877;Epinions1;-0.0003;%
325729;NotreDame;-0.0052;%
403364;amazon0601;-0.0021;%
855802;Google;-0.0142;%
1632803;pokec;0.0000;%
4843953;LiveJournal1;0.0000;%
